weight,storage,brand,gpu,price,os,cpu,camera,screen_size,ram
2.0,1024,microsoft,NVIDIA GeForce GTX 1660 Ti,11999.0,Windows 11 Home,Core i7-11800H,1080p with Windows Hello Authentication,14.89,32
1.73,256,microsoft,NVIDIA GeForce RTX 3050,2254.33,Windows 10 Home,Core i3-i3-1115G4,HD,15.83,4
1.39,1024,dell,NVIDIA GeForce RTX 3050 Ti,2189.57,Windows 10 Home,Core i5-1135G7,720P HD Recessed,14.0,4
1.5,128,lenovo,NVIDIA GeForce MX450,3297.0,Windows 10 Home,Core i5-1035G7,HD,14.0,16
1.3,256,hp,AMD Radeon RX5500M,3484.41,Windows 10 Home,Core i5-1135G7,HD,12.4,4
1.19,512,asus,NVIDIA GeForce RTX 3060,3493.2,Chrome OS,Core i5-11300H,VGA,13.61,4
1.54,512,msi,NVIDIA GeForce MX450,6386.0,Windows 10 Home,Core i7-11800H,IR HD type (30fps@720p),15.0,8
1.25,1024,dell,Intel Iris Xe Graphics G7 96EUs,3789.13,Windows 10 Home,Core i5-1155G7,HD,13.47,16
1.71,128,acer,Intel Iris Xe Graphics,1999.0,Windows 10 Home,Core i3-1115G4,720p HD f2.0 camera (front-facing),15.6,16
1.42,32,huawei,NVIDIA GeForce RTX 3070 with Max-Q design,1680.41,Chrome OS,Pentium Silver N6000,HD 720p CMOS module,11.27,4
1.14,128,hp,AMD Radeon RX Vega 9,5642.33,Windows 10 Home,Core i7-10750H,720p HD Camera,13.7,8
1.96,512,msi,AMD Radeon RX Vega 8,5307.47,Windows 10 Pro,Core i7-11800H,720P HD,15.6,8
1.48,128,huawei,NVIDIA GeForce MX450,3024.19,Windows 10 Home,Core i5-1155G7,,13.69,4
1.43,256,msi,AMD Radeon RX Vega 6,3696.15,Windows 10 Home in S mode,Core i7-1165G7,VGA Web Camera (Fixed type),14.0,8
1.29,512,hp,NVIDIA GeForce GTX1650,4828.0,Windows 10 Home in S mode,Core i5-1135G7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,14.13,8
0.0,512,asus,NVIDIA GeForce GTX 1650,3399.0,Windows 10 Home,Core i5-1035G7,,14.6,8
1.22,256,lenovo,NVIDIA GeForce MX450,2829.14,Windows 10 Home,Core i5-1135G7,,12.6,8
1.54,256,asus,NVIDIA GeForce RTX 3050 Ti,2371.85,Windows 10,Ryzen 3 5300U,HD,14.0,4
1.14,256,lenovo,Intel Iris Xe Graphics,3473.01,Windows 10 Home,Ryzen 9 5900HX, 720P HD Recessed camera,12.93,16
1.09,64,microsoft,NVIDIA GeForce RTX 3060 Max-Q,2402.88,Windows 10,Core i5-1035G1,720p,12.4,8
1.44,256,lenovo,Intel Iris Xe Graphics G7 96EUs,3190.16,Windows 10 Home,Core i5-11400H,HP TrueVision HD Camera with integrated dual array digital microphone,14.04,16
1.19,512,asus,Nvidia Geforce MX350,6671.19,Windows 10 Home 64,Core i5-11300H,,13.9,32
1.33,512,acer,NVIDIA GeForce MX250,3135.44,Windows 10 Home,Core i3-1115G4,HP TrueVision HD Camera with integrated dual array digital microphone,13.71,4
0.99,1024,hp,NVIDIA GeForce MX350,4941.44,Windows 10 Home,Core i5-1135G7,HD,13.52,8
1.29,2048,lenovo,NVIDIA GeForce GTX1650,7517.13,Windows 10 Home,Core i7-11370H,VGA,13.52,16
1.77,1024,hp,AMD Radeon RX Vega 8,4604.15,Windows 10 Home,Core i7-11370H,720p HD f2.0 camera (front-facing),16.14,16
1.14,128,lenovo,AMD Radeon RX Vega 7,4599.0,Windows 10 Pro,Core i7-11800H,720p HD camera,13.59,4
2.14,1024,msi,NVIDIA GeForce RTX 3060,5799.0,Windows 10 Home,Core i5-1135G7,HD,15.24,8
1.41,256,msi,AMD Radeon RX Vega 2,4956.41,Windows 10 Home,Core i5-1035G1, 720P HD Recessed camera,14.28,16
1.49,512,asus,NVIDIA GeForce RTX 3050,2722.99,Windows 10 Home,Core i5-11300H,  720p HD camera with microphone; IR camera,15.83,4
2.45,512,microsoft,NVIDIA GeForce MX450,3493.2,Windows 10 Home,Core i7-1165G7,720p,14.91,4
1.39,512,asus,NVIDIA GeForce MX250,5999.0,Windows 10 Home 64,Ryzen 7 5800H,,15.0,8
1.49,512,asus,NVIDIA GeForce GTX1650,2352.34,Windows 10 Pro,Celeron N4500,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.09,8
1.81,1024,msi,NVIDIA GeForce RTX 3050,2699.0,Windows 10 Home,Core i3-1005G1,HD,15.63,16
0.94,64,huawei,NVIDIA GeForce GTX1650,1687.4,Windows 10 Home,Ryzen 7 5800H ,720p HD f2.0,9.64,8
